block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
,2.0018618506795756,2.0,False,8960,2,low_rank,down_proj,model.layers.2.mlp.down_proj,1536,13762560,6874880,655,0.6122329245453547,
16,16.0,2.0,False,8960,2,block_circulant,down_proj,model.layers.2.mlp.down_proj,1536,13762560,860160,0,0.9682713689721405,
64,35.0,2.0,False,8960,2,monarch_like,down_proj,model.layers.2.mlp.down_proj,1536,13762560,393216,64,0.9928895648860304,2
,4.009845603043186,4.0,False,8960,2,low_rank,down_proj,model.layers.2.mlp.down_proj,1536,13762560,3432192,327,0.7921170547655915,
16,16.0,4.0,False,8960,2,block_circulant,down_proj,model.layers.2.mlp.down_proj,1536,13762560,860160,0,0.9682713689721405,
64,35.0,4.0,False,8960,2,monarch_like,down_proj,model.layers.2.mlp.down_proj,1536,13762560,393216,64,0.9928895648860304,2
,8.044291485859643,8.0,False,8960,2,low_rank,down_proj,model.layers.2.mlp.down_proj,1536,13762560,1710848,163,0.8862424622293253,
16,16.0,8.0,False,8960,2,block_circulant,down_proj,model.layers.2.mlp.down_proj,1536,13762560,860160,0,0.9682713689721405,
64,35.0,8.0,False,8960,2,monarch_like,down_proj,model.layers.2.mlp.down_proj,1536,13762560,393216,64,0.9928895648860304,2
,16.187895212285458,16.0,False,8960,2,low_rank,down_proj,model.layers.2.mlp.down_proj,1536,13762560,850176,81,0.9361842683984879,
16,16.0,16.0,False,8960,2,block_circulant,down_proj,model.layers.2.mlp.down_proj,1536,13762560,860160,0,0.9682713689721405,
64,35.0,16.0,False,8960,2,monarch_like,down_proj,model.layers.2.mlp.down_proj,1536,13762560,393216,64,0.9928895648860304,2
,2.0018618506795756,2.0,False,1536,2,low_rank,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,6874880,655,0.5746042778099799,
16,16.0,2.0,False,1536,2,block_circulant,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,860160,0,0.9682246333466006,
64,6.0,2.0,False,1536,2,monarch_like,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,2293760,64,0.9574718645273547,2
,4.009845603043186,4.0,False,1536,2,low_rank,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,3432192,327,0.7519113523901187,
16,16.0,4.0,False,1536,2,block_circulant,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,860160,0,0.9682246333466006,
64,6.0,4.0,False,1536,2,monarch_like,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,2293760,64,0.9574718645273547,2
,8.044291485859643,8.0,False,1536,2,low_rank,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,1710848,163,0.8497150898347066,
16,16.0,8.0,False,1536,2,block_circulant,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,860160,0,0.9682246333466006,
64,8.0,8.0,False,1536,2,monarch_like,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,1720320,48,0.9579686575597931,2
,16.187895212285458,16.0,False,1536,2,low_rank,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,850176,81,0.906359572707438,
16,16.0,16.0,False,1536,2,block_circulant,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,860160,0,0.9682246333466006,
64,16.0,16.0,False,1536,2,monarch_like,gate_proj,model.layers.2.mlp.gate_proj,8960,13762560,860160,24,0.9660866646746813,2
,2.0131061598951505,2.0,True,1536,2,low_rank,k_proj,model.layers.2.self_attn.k_proj,256,393216,195328,109,0.49464335210346705,
16,16.0,2.0,True,1536,2,block_circulant,k_proj,model.layers.2.self_attn.k_proj,256,393216,24576,0,0.9683341466695571,
64,6.0,2.0,True,1536,2,monarch_like,k_proj,model.layers.2.self_attn.k_proj,256,393216,65536,64,0.9572660323887447,2
,4.063492063492063,4.0,True,1536,2,low_rank,k_proj,model.layers.2.self_attn.k_proj,256,393216,96768,54,0.7037586881561348,
16,16.0,4.0,True,1536,2,block_circulant,k_proj,model.layers.2.self_attn.k_proj,256,393216,24576,0,0.9683341466695571,
64,6.0,4.0,True,1536,2,monarch_like,k_proj,model.layers.2.self_attn.k_proj,256,393216,65536,64,0.9572660323887447,2
,8.126984126984127,8.0,True,1536,2,low_rank,k_proj,model.layers.2.self_attn.k_proj,256,393216,48384,27,0.8279223734990209,
16,16.0,8.0,True,1536,2,block_circulant,k_proj,model.layers.2.self_attn.k_proj,256,393216,24576,0,0.9683341466695571,
64,8.0,8.0,True,1536,2,monarch_like,k_proj,model.layers.2.self_attn.k_proj,256,393216,49152,48,0.9575899896109542,2
